t,cause,jammer_on,jammer_channels
27.300,spot,1,"6 "
27.400,spot,1,"6 "
27.500,spot,1,"6 "
27.600,spot,1,"6 "
27.700,spot,1,"6 "
27.800,spot,1,"6 "
27.900,spot,1,"6 "
28.000,spot,1,"6 "
28.100,spot,1,"6 "
28.200,spot,1,"6 "
28.300,spot,1,"6 "
28.400,spot,1,"6 "
28.500,spot,1,"6 "
28.600,spot,1,"6 "
28.700,spot,1,"6 "
28.800,spot,1,"6 "
28.900,spot,1,"6 "
29.000,spot,1,"6 "
29.100,spot,1,"6 "
29.200,spot,1,"6 "
29.300,spot,1,"6 "
29.400,spot,1,"6 "
29.500,spot,1,"6 "
29.600,spot,1,"6 "
29.700,spot,1,"6 "
29.800,spot,1,"6 "
29.900,spot,1,"6 "
30.000,spot,1,"6 "
30.100,spot,1,"6 "
30.200,spot,1,"6 "
30.300,spot,1,"6 "
30.400,spot,1,"6 "
30.500,spot,1,"6 "
30.600,spot,1,"6 "
30.700,spot,1,"6 "
30.800,spot,1,"6 "
30.900,spot,1,"6 "
31.000,spot,1,"6 "
31.100,spot,1,"6 "
31.200,spot,1,"6 "
31.300,spot,1,"6 "
31.400,spot,1,"6 "
31.500,spot,1,"6 "
31.600,spot,1,"6 "
31.700,spot,1,"6 "
31.800,spot,1,"6 "
31.900,spot,1,"6 "
32.000,spot,1,"6 "
32.100,spot,1,"6 "
32.200,spot,1,"6 "
32.300,spot,1,"6 "
32.400,spot,1,"6 "
32.500,spot,1,"6 "
32.600,spot,1,"6 "
32.700,spot,1,"6 "
32.800,spot,1,"6 "
32.900,spot,1,"6 "
33.000,spot,1,"6 "
33.100,spot,1,"6 "
33.200,spot,1,"6 "
33.300,spot,1,"6 "
33.400,spot,1,"6 "
33.500,spot,1,"6 "
33.600,spot,1,"6 "
33.700,spot,1,"6 "
33.800,spot,1,"6 "
33.900,spot,1,"6 "
34.000,spot,1,"6 "
34.100,spot,1,"6 "
34.200,spot,1,"6 "
34.300,spot,1,"6 "
34.400,spot,1,"6 "
34.500,spot,1,"6 "
34.600,spot,1,"6 "
34.700,spot,1,"6 "
34.800,spot,1,"6 "
34.900,spot,1,"6 "
35.000,spot,1,"6 "
35.100,spot,1,"6 "
35.200,spot,1,"6 "
35.300,spot,1,"6 "
35.400,spot,1,"6 "
35.500,spot,1,"6 "
35.600,spot,1,"6 "
35.700,spot,1,"6 "
35.800,spot,1,"6 "
35.900,spot,1,"6 "
36.000,spot,1,"6 "
36.100,spot,1,"6 "
36.200,spot,1,"6 "
36.300,spot,1,"6 "
36.400,spot,1,"6 "
36.500,spot,1,"6 "
36.600,spot,1,"6 "
36.700,spot,1,"6 "
36.800,spot,1,"6 "
36.900,spot,1,"6 "
37.000,spot,1,"6 "
37.100,spot,1,"6 "
37.200,spot,1,"6 "
37.300,spot,1,"6 "
37.400,spot,1,"6 "
37.500,spot,1,"6 "
37.600,spot,1,"6 "
37.700,spot,1,"6 "
37.800,spot,1,"6 "
37.900,spot,1,"6 "
38.000,spot,1,"6 "
38.100,spot,1,"6 "
38.200,spot,1,"6 "
38.300,spot,1,"6 "
38.400,spot,1,"6 "
38.500,spot,1,"6 "
38.600,spot,1,"6 "
38.700,spot,1,"6 "
38.800,spot,1,"6 "
38.900,spot,1,"6 "
39.000,spot,1,"6 "
39.100,spot,1,"6 "
39.200,spot,1,"6 "
39.300,spot,1,"6 "
39.400,spot,1,"6 "
39.500,spot,1,"6 "
39.600,spot,1,"6 "
39.700,spot,1,"6 "
39.800,spot,1,"6 "
39.900,spot,1,"6 "
40.000,spot,1,"6 "
40.100,spot,1,"6 "
40.200,spot,1,"6 "
40.300,spot,1,"6 "
40.400,spot,1,"6 "
40.500,spot,1,"6 "
40.600,spot,1,"6 "
40.700,spot,1,"6 "
40.800,spot,1,"6 "
40.900,spot,1,"6 "
41.000,spot,1,"6 "
41.100,spot,1,"6 "
41.200,spot,1,"6 "
41.300,spot,1,"6 "
41.400,spot,1,"6 "
41.500,spot,1,"6 "
41.600,spot,1,"6 "
41.700,spot,1,"6 "
41.800,spot,1,"6 "
41.900,spot,1,"6 "
42.000,spot,1,"6 "
42.100,spot,1,"6 "
42.200,spot,1,"6 "
42.300,spot,1,"6 "
42.400,spot,1,"6 "
42.500,spot,1,"6 "
42.600,spot,1,"6 "
42.700,spot,1,"6 "
42.800,spot,1,"6 "
42.900,spot,1,"6 "
43.000,spot,1,"6 "
43.100,spot,1,"6 "
43.200,spot,1,"6 "
43.300,spot,1,"6 "
43.400,spot,1,"6 "
43.500,spot,1,"6 "
43.600,spot,1,"6 "
43.700,spot,1,"6 "
43.800,spot,1,"6 "
43.900,spot,1,"6 "
44.000,spot,1,"6 "
44.100,spot,1,"6 "
44.200,spot,1,"6 "
44.300,spot,1,"6 "
44.400,spot,1,"6 "
44.500,spot,1,"6 "
44.600,spot,1,"6 "
44.700,spot,1,"6 "
44.800,spot,1,"6 "
44.900,spot,1,"6 "
45.000,spot,1,"6 "
45.100,spot,1,"6 "
45.200,spot,1,"6 "
45.300,spot,1,"6 "
45.400,spot,1,"6 "
45.500,spot,1,"6 "
45.600,spot,1,"6 "
45.700,spot,1,"6 "
45.800,spot,1,"6 "
45.900,spot,1,"6 "
46.000,spot,1,"6 "
46.100,spot,1,"6 "
46.200,spot,1,"6 "
46.300,spot,1,"6 "
46.400,spot,1,"6 "
46.500,spot,1,"6 "
46.600,spot,1,"6 "
46.700,spot,1,"6 "
46.800,spot,1,"6 "
46.900,spot,1,"6 "
47.000,spot,1,"6 "
47.100,spot,1,"6 "
47.200,spot,1,"6 "
47.300,spot,1,"6 "
47.400,spot,1,"6 "
47.500,spot,1,"6 "
47.600,spot,1,"6 "
47.700,spot,1,"6 "
47.800,spot,1,"6 "
47.900,spot,1,"6 "
48.000,spot,1,"6 "
48.100,spot,1,"6 "
48.200,spot,1,"6 "
48.300,spot,1,"6 "
48.400,spot,1,"6 "
48.500,spot,1,"6 "
48.600,spot,1,"6 "
48.700,spot,1,"6 "
48.800,spot,1,"6 "
48.900,spot,1,"6 "
49.000,spot,1,"6 "
49.100,spot,1,"6 "
49.200,spot,1,"6 "
49.300,spot,1,"6 "
49.400,spot,1,"6 "
49.500,spot,1,"6 "
49.600,spot,1,"6 "
49.700,spot,1,"6 "
49.800,spot,1,"6 "
49.900,spot,1,"6 "
50.000,spot,1,"6 "
50.100,spot,1,"6 "
50.200,spot,1,"6 "
50.300,spot,1,"6 "
50.400,spot,1,"6 "
50.500,spot,1,"6 "
50.600,spot,1,"6 "
50.700,spot,1,"6 "
50.800,spot,1,"6 "
50.900,spot,1,"6 "
51.000,spot,1,"6 "
51.100,spot,1,"6 "
51.200,spot,1,"6 "
51.300,spot,1,"6 "
51.400,spot,1,"6 "
51.500,spot,1,"6 "
51.600,spot,1,"6 "
51.700,spot,1,"6 "
51.800,spot,1,"6 "
51.900,spot,1,"6 "
52.000,spot,1,"6 "
52.100,spot,1,"6 "
52.200,spot,1,"6 "
52.300,spot,1,"6 "
52.400,spot,1,"6 "
52.500,spot,1,"6 "
52.600,spot,1,"6 "
52.700,spot,1,"6 "
52.800,spot,1,"6 "
52.900,spot,1,"6 "
53.000,spot,1,"6 "
53.100,spot,1,"6 "
53.200,spot,1,"6 "
53.300,spot,1,"6 "
53.400,spot,1,"6 "
53.500,spot,1,"6 "
53.600,spot,1,"6 "
53.700,spot,1,"6 "
53.800,spot,1,"6 "
53.900,spot,1,"6 "
54.000,spot,1,"6 "
54.100,spot,1,"6 "
54.200,spot,1,"6 "
54.300,spot,1,"6 "
54.400,spot,1,"6 "
54.500,spot,1,"6 "
54.600,spot,1,"6 "
54.700,spot,1,"6 "
54.800,spot,1,"6 "
54.900,spot,1,"6 "
55.000,spot,1,"6 "
55.100,spot,1,"6 "
55.200,spot,1,"6 "
55.300,spot,1,"6 "
55.400,spot,1,"6 "
