t,channel,pdr_mean,pdr_worst,pdr_spread,n_links,links_degraded,rssi_mean,rssi_per_link,pdr_per_link,noise_dbm,meas_floor_dbm,band_power,hb_gap_max,data_tx,data_rx,rx_ok,rx_err,rev_rssi_per_link,rev_pdr_per_link,rev_age_per_link,tx_attempts,tx_acked,tx_defer_ms,tx_retry_depth,shadow_exp,shadow_miss,silent_exp,silent_miss
1.000,6,0.500,0.500,0.000,3,3,-78.473,"-76.6 -81.5 -77.3","0.500 0.500 0.500",-93.966,-100.820,"-100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8",0.073,0,0,18,11,"-8e+01 -8e+01 -8e+01","1 0 0","0.073 0.048 0.023",5,5,0.01,0.00,0,0,12,0
1.100,6,1.000,1.000,0.000,3,0,-78.473,"-76.6 -81.5 -77.3","1.000 1.000 1.000",-93.966,-100.820,"-100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8",0.073,2,0,21,13,"-8e+01 -8e+01 -8e+01","1 0 0","0.073 0.048 0.023",1,1,0.01,0.00,0,0,3,0
1.200,6,1.000,1.000,0.000,3,0,-78.473,"-76.6 -81.5 -77.3","1.000 1.000 1.000",-93.966,-100.820,"-100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8",0.073,4,0,24,15,"-8e+01 -8e+01 -8e+01","1 0 0","0.073 0.048 0.023",1,1,0.01,0.00,0,0,3,0
1.300,6,1.000,1.000,0.000,3,0,-78.473,"-76.6 -81.5 -77.3","1.000 1.000 1.000",-93.966,-100.820,"-100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8",0.073,6,0,27,17,"-8e+01 -8e+01 -8e+01","1 0 0","0.073 0.048 0.023",1,1,0.01,0.00,0,0,3,0
1.400,6,1.000,1.000,0.000,3,0,-78.473,"-76.6 -81.5 -77.3","1.000 1.000 1.000",-93.966,-100.820,"-100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8",0.073,8,0,30,19,"-8e+01 -8e+01 -8e+01","1 0 0","0.073 0.048 0.023",1,1,0.02,0.00,0,0,3,0
1.500,6,1.000,1.000,0.000,3,0,-78.473,"-76.6 -81.5 -77.3","1.000 1.000 1.000",-93.966,-100.820,"-100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8",0.073,10,0,33,21,"-8e+01 -8e+01 -8e+01","1 0 0","0.073 0.048 0.023",1,1,0.00,0.00,0,0,3,0
1.600,6,1.000,1.000,0.000,3,0,-78.473,"-76.6 -81.5 -77.3","1.000 1.000 1.000",-93.966,-100.820,"-100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8",0.073,12,0,36,23,"-8e+01 -8e+01 -8e+01","1 0 0","0.073 0.048 0.023",1,1,0.01,0.00,0,0,3,0
1.700,6,1.000,1.000,0.000,3,0,-78.473,"-76.6 -81.5 -77.3","1.000 1.000 1.000",-93.966,-100.820,"-100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8",0.073,14,0,39,25,"-8e+01 -8e+01 -8e+01","1 0 0","0.073 0.048 0.023",1,1,0.01,0.00,0,0,3,0
1.800,6,1.000,1.000,0.000,3,0,-78.473,"-76.6 -81.5 -77.3","1.000 1.000 1.000",-93.966,-100.820,"-100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8",0.073,16,0,42,27,"-8e+01 -8e+01 -8e+01","1 0 0","0.073 0.048 0.023",1,1,0.01,0.00,0,0,3,0
1.900,6,1.000,1.000,0.000,3,0,-78.473,"-76.6 -81.5 -77.3","1.000 1.000 1.000",-93.966,-100.820,"-100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8 -100.8",0.073,18,0,45,29,"-8e+01 -8e+01 -8e+01","1 0 0","0.073 0.048 0.023",1,1,0.02,0.00,0,0,3,0
